reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d47b30c8-00a3-4873-ab23-a601c817a851,bayu azl,https://play-lh.googleusercontent.com/a-/ALV-UjVr49AEFcJxtN1cSzc3zj9Olkrp-AWuldsacEl-p7KKBdom6jfm,kalau beli grabfood pengiriman hemat sengaja dilama-lamain sama aplikatornya buat take ordernya,1,0,5.343.0,2025-02-08 23:38:53,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:27,5.343.0
e79383cc-ee3d-4ec7-933b-9ce48d7478ba,Key_ Aleezah,https://play-lh.googleusercontent.com/a-/ALV-UjUC9sXwQ48KbBsyymg9aznBrDnGmdRnmbzuZe_dDvly2Cv6QUZR,"makin gak ngotak ongkos kirim nyagrab food,,, cuman jarak 0,4 km aja dikenakan ongkos Rp 13.000,, mending gw uninstall ni apk.",1,0,5.343.0,2025-02-08 22:01:21,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:25,5.343.0
07c2fa0b-c57a-4bd2-b792-4fb3afc3f619,Agus Puryanto,https://play-lh.googleusercontent.com/a-/ALV-UjUDsTrFKFLbSNMFe9FaFP-Yn0ahou9Gi5sQeIy01HYlqVDST63Y,Aplikasi busuk error saldo masih banyak masa di suruh top up,1,0,5.343.0,2025-02-08 21:49:06,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:22,5.343.0
89d79663-5536-4f54-837c-8017feb4a8db,sikhati nikmah,https://play-lh.googleusercontent.com/a/ACg8ocLgHxDuvbdOReyaiErUK64t0jWsimWHyjnwjbsY2gNYGPPEEw=mo,Sangat buruk. Seharusnya kalo pesanan didapur tidak sesuai estimasi waktu awal...ada pemberitahuan...ini malah tidak...nunggu sampe 1 jam lebih...tetep gada progress...klo ga chat cs nya minta dibatalin ga akan batal dan gada leterangan apapun...cs nya jg tidak memberikan solusi. Penangan terhadap.komplain customer jg buruk...gada kata maaf dan terimakasih dalam penanganan masalah ini selama chat.,1,0,5.343.0,2025-02-08 21:17:32,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:18,5.343.0
76272fe0-e71b-4113-8bbb-c0aed580c170,Dheja Gokiel,https://play-lh.googleusercontent.com/a-/ALV-UjWBAAccJs54_1-F4Z0UuItV8JgTX0Q_pL0Xe76I1Nrbptk6jOUn,"Goofod y mahal"" ongkir y padahal langganan 24rb anlimited greb. Kecewa banget sama greb",1,0,5.342.0,2025-02-08 21:17:23,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:17,5.342.0
4e1e7642-74b1-4e0d-a40a-b361e580794d,Hani Nurfajriana,https://play-lh.googleusercontent.com/a-/ALV-UjXpl_IbJw1P_Yf34W8PdfBzWtEGWVC2nbgxtpg9NOo0TI1IibZB,"Makin gajelas. Udh dpt driver, bsa2 nya driver dicari lgi. Kpan smpai mkanan saya klau gtu",1,0,5.108.1,2025-02-08 20:00:34,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:12,5.108.1
442489e5-eb57-4658-8a61-041d6d8a5e5a,Iwan Setiawan,https://play-lh.googleusercontent.com/a/ACg8ocJvpZltl5b50FUoqC4puJYp49PoAPRdzDTljceoND5Ba4JalQ=mo,"sedikit kecewa klo pesan makanan cuma pesanan diterima lama bngt kudu di complain baru masuk di dapur, di dapur juga kadang lama gak dpt driver tiba2 cancel padahal pake pengantaran prioritas kudu complain lagi, tolong di benerin pelayanan nya biar good kaya dulu.",1,0,5.208.0,2025-02-08 19:36:18,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:09,5.208.0
38d33f74-9715-4654-8fa5-b3806d8bbfde,Diah Ayu Sekar Kinasih,https://play-lh.googleusercontent.com/a/ACg8ocIvy0kE6Y1K___jZS7Xkvw44ECtZhPSK1jyRHiEqFEDafW1KQ=mo,Pemesanan makanan saya dibatal kan oleh aplikasi tapi uang saya yang ditarik tidak dikembalikan! Pusat bantuan cuma di bales bot sangat tidak berguna!,1,0,5.224.0,2025-02-08 18:30:38,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:04,5.224.0
bef090d5-384b-43cb-9b5a-57b94a630788,Bagus maulana ilham,https://play-lh.googleusercontent.com/a-/ALV-UjU07aw5t_d_xXtf721RXSA3tBYinhBg50B09px9AGUWq_VyFB4OHw,"Gajelas, payment tiba2 berubah sendiri pas udh di dalem orderan, awalnya qris tiba2 berubah jdi debit",1,0,5.343.0,2025-02-08 17:14:44,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:09:01,5.343.0
7f3a20ea-3a9f-4e7d-801f-d95771cd8548,Nabil,https://play-lh.googleusercontent.com/a/ACg8ocIZnQr_tOZPfAhm3JHOChhFmfzFO5HwP9sKMP9lozRFs1gYBQ=mo,susah dapet driver sedikit,2,0,5.343.0,2025-02-08 13:52:30,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:08:57,5.343.0
59122262-a267-423b-a97a-f7d7e94b96da,Mochammad Subasya,https://play-lh.googleusercontent.com/a-/ALV-UjWqoUTMKLOxf6R0mO_RE2JBlUMTu6Cm_mTLgiXcCQypOf_TdllLbA,"gajelas tiap hari selalu pake ni aplikasi buat grabfood, promonya tiba tiba ilang yg 55% padahal di account temen tetep tersedia promonya",1,0,5.343.0,2025-02-08 13:01:37,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:08:58,5.343.0
59ad2603-0b7c-447d-91d1-00761d3cd6f7,Brian s,https://play-lh.googleusercontent.com/a/ACg8ocKNCDifE2LLsEupbMXawiR-TMLuCQrKNfO4pq7aBRHXZ4_Bpw=mo,"Baru download mau nyoba pesen makanan eh ga bisa pake tunai,malah error gimana ini!!!!",2,0,5.342.0,2025-02-08 10:49:04,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2025-02-09 13:08:36,5.342.0
82b0a5a3-7d44-446f-b9eb-93c78eebfa29,Dewi Azura,https://play-lh.googleusercontent.com/a/ACg8ocLMkASxATasPMuRVy7jxpp8UOQHmB1nf-ZgYv4tirCbztG2xg=mo,GRAB motor selalu mahal turunkan harganya !!,1,2,5.335.0,2025-02-08 10:03:56,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya. Terima kasih 🙏
",2024-09-25 16:12:03,5.335.0
20c7a71d-fdb8-4a87-9910-a764e7b5f648,Beli Hanif,https://play-lh.googleusercontent.com/a/ACg8ocLXrYYjj79FAj1r2P6GorkLsEyDYdYLoXjammQF8-YBNqbd9Q=mo,mantap,5,0,5.342.0,2025-02-08 09:57:38,Terima kasih atas kepercayaan kakak pada layanan kami Sukses selalu Kak 🤗,2025-02-08 10:03:21,5.342.0
fbde553b-5588-4387-91c4-b4777a86685b,victor knot,https://play-lh.googleusercontent.com/a-/ALV-UjXJEbOKxg31ySrT9xreg3cJthfTiSUBWLADOL01IjdmyzoQakaA,mantap maju terus,5,0,5.343.0,2025-02-08 09:56:26,Terima kasih atas kepercayaan kakak pada layanan kami Sukses selalu Kak 🤗,2025-02-08 10:03:17,5.343.0
